Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
1,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,0,No important warnings
6,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
7,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
8,5673.451399,101011,5,5583.451398779233,True,True,True,6,72.1701345146513,0,,From saved model No important warnings
9,5673.451399,101011,5,5583.451398779233,True,True,True,6,72.1701345146513,0,,From saved model No important warnings
10,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
10,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
11,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
11,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
9,5673.451399,101011,5,5583.451398779233,True,True,True,6,72.1701345146513,0,,From saved model No important warnings
9,5673.451399,101011,5,5583.451398779233,True,True,True,6,72.1701345146513,0,,From saved model No important warnings
5,5664.744813,001111,5,5574.744813039854,True,True,True,5,30.815158966783347,0,0,No important warnings
5,5664.744813,001111,5,5574.744813039854,True,True,True,5,30.815158966783347,0,0,No important warnings
3,5739.872187,101101,6,5649.872186581825,True,True,True,5,25.83500162734159,0,,From saved model No important warnings
1,5734.664617,001001,6,5664.66461651907,True,True,True,4,20.04455824712298,0,0,No important warnings
2,5734.664617,001001,6,5664.66461651907,True,True,True,4,20.04455824712298,0,0,No important warnings
4,5753.195954,001101,6,5673.195954419792,True,True,True,4,23.859920270789715,0,0,No important warnings
0,5753.195954,001101,6,5673.195954419792,True,True,True,4,23.859920270789715,0,0,No important warnings
7,5753.195954,001101,6,5673.195954419792,True,True,True,4,23.859920270789715,0,,From saved model No important warnings
8,5753.195954,001101,6,5673.195954419792,True,True,True,4,23.859920270789715,0,,From saved model No important warnings
